playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
59856,A. Hernández,FOR,1340,CSKA Moscow,CSK,0,0,6.1,0,0.050,0.819672131147541,d,i,0,0,0,0,0,0,0,0,0,6.2,6.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/57168.png,0,0.00000
240864,Ahmed Touba,FOR,413,Club Brugge,BRU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
161949,Aleksandr Makarov,FOR,1340,CSKA Moscow,CSK,0,0,5.5,0,0.050,0.9090909090909092,d,i,0,0,0,0,0,0,0,0,0,5.6,5.5,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/269973.png,0,0.00000
219168,Alexander Isak,FOR,157,Borussia Dortmund,BVB,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/422165.png,0,0.00000
113529,Amin Younes,FOR,459,Napoli,NAP,0,0,6.1,0,0.050,0.819672131147541,d,a,0,0,0,0,0,0,0,0,0,6.2,6.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/176472.png,0,0.00000
247400,Amine Gouiri,FOR,143,Lyon,LYN,0,0,5.0,0,0.050,1,d,i,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/454747.png,0,0.00000
68582,Andrej Kramaric,FOR,1902,TSG 1899 Hoffenheim,TSG,6,0,6.3,0,0.025,0.3952569169960474,d,a,1,0,1,0,0,0,0,0,0,6.4,6.3,6,https://secure.cache.images.core.optasports.com/soccer/players/150x150/83992.png,0,0.00000
244751,André Pereira,FOR,201,FC Porto,FCP,1,0,6.2,0,0.025,0.4016064257028113,d,a,0,0,0,0,0,0,0,0,0,6.3,6.2,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/356459.png,0,0.00000
148225,Anthony Martial,FOR,1,Manchester United,MNU,8,0,7.2,0,0.025,0.34843205574912894,d,a,1,1,0,0,0,0,0,0,0,7.2,7.1,8,https://secure.cache.images.core.optasports.com/soccer/players/150x150/215647.png,0,0.00000
76650,Antoine Griezmann,FOR,175,Atlético de Madrid,ATM,20,0,8.1,0,0.200,2.484472049689441,u,a,2,2,2,0,0,0,0,0,0,8.1,7.8,20,https://secure.cache.images.core.optasports.com/soccer/players/150x150/92385.png,0,0.00000
42515,Ari,FOR,271,Lokomotiv Moscow,LCM,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
103076,Arkadiusz Milik,FOR,459,Napoli,NAP,4,0,7.0,0,0.025,0.3597122302158274,d,a,2,0,0,0,0,0,0,0,0,7.0,7.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/197974.png,0,0.00000
231177,Artem Galadzhan,FOR,271,Lokomotiv Moscow,LCM,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
179342,Berk Ismael Unsal,FOR,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
