playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
94144,Ales Hruska,GK,2703,Viktoria Plzen,VIK,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/48271.png,0,0.00000
437819,Alex Dos Santos,GK,175,Atlético de Madrid,ATM,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/460257.png,0,0.00000
171366,Alex Meret,GK,459,Napoli,NAP,0,0,5.1,0,0.050,0.9803921568627453,d,i,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/319830.png,0,0.00000
186658,Alexander Nübel,GK,167,FC Schalke 04,SCH,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/348361.png,0,0.00000
34656,Alexander Stolz,GK,1902,TSG 1899 Hoffenheim,TSG,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/1943.png,0,0.00000
116535,Alisson,GK,14,Liverpool,LIV,4,0,6.3,0,0.050,0.7905138339920948,u,a,2,0,0,3,0,7,0,0,0,6.3,6.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/102643.png,0,0.00000
196989,Alperen Uysal,GK,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
84182,Alphonse Areola,GK,149,Paris Saint-Germain,PSG,3,0,5.8,0,0.025,0.43478260869565216,d,a,2,0,0,4,0,6,0,0,0,5.8,5.8,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/138003.png,0,0.00000
37201,Andriy Pyatov,GK,455,Shakhtar Donetsk,SHA,4,0,5.7,0,0.025,0.4424778761061947,d,a,2,0,0,4,0,9,0,0,0,5.7,5.7,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/669.png,0,0.00000
202641,André Onana,GK,215,Ajax,AJA,9,0,6.0,0,0.025,0.4184100418410042,d,a,2,0,0,1,1,3,0,0,0,6.0,5.9,9,https://secure.cache.images.core.optasports.com/soccer/players/150x150/372465.png,0,0.00000
59957,Anthony Lopes,GK,143,Lyon,LYN,6,0,6.0,0,0.025,0.4149377593360996,d,a,2,0,0,3,0,12,0,0,0,6.1,6.0,6,https://secure.cache.images.core.optasports.com/soccer/players/150x150/110170.png,0,0.00000
247385,Anthony Racioppi,GK,143,Lyon,LYN,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/420758.png,0,0.00000
48350,Anton Kochenkov,GK,271,Lokomotiv Moscow,LCM,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/72814.png,0,0.00000
59981,Antonio Adán,GK,175,Atlético de Madrid,ATM,0,0,5.6,0,0.050,0.892857142857143,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/62123.png,0,0.00000
12730,Antonio Mirante,GK,121,Roma,ROM,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/17796.png,0,0.00000
232917,Arijanet Muric,GK,43,Manchester City,MNC,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/453110.png,0,0.00000
4038,Bogdan Lobont,GK,121,Roma,ROM,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/4030.png,0,0.00000
135322,Bogdan Sarnavskiy,GK,455,Shakhtar Donetsk,SHA,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
459185,Brent Gabriël,GK,413,Club Brugge,BRU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/460028.png,0,0.00000
105610,Bruno Varela,GK,251,Benfica,BEN,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/161787.png,0,0.00000
59338,Carlo Pinsoglio,GK,128,Juventus,JUV,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/95779.png,0,0.00000
225518,Christian Früchtl,GK,156,FC Bayern München,BAY,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/419944.png,0,0.00000
33148,Claudio Bravo,GK,43,Manchester City,MNC,0,0,5.4,0,0.050,0.9259259259259258,d,i,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/3626.png,0,0.00000
42589,Damir Kahriman,GK,214,Crvena Zvezda,RSB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
18377,Daniele Padelli,GK,127,Internazionale,INT,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/18585.png,0,0.00000
60582,Danijel Subasic,GK,146,Monaco,MON,-1,0,5.8,0,0.100,1.7391304347826086,d,i,0,0,0,3,0,2,0,0,0,5.9,5.8,-1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/37450.png,0,0.00000
212072,Dario Marzino,GK,1963,Young Boys,BSC,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/353263.png,0,0.00000
51940,David De Gea,GK,1,Manchester United,MNU,16,0,6.7,0,0.100,1.5037593984962405,u,a,2,0,0,0,2,5,0,0,0,6.7,6.4,16,https://secure.cache.images.core.optasports.com/soccer/players/150x150/61954.png,0,0.00000
48844,David Ospina,GK,459,Napoli,NAP,15,0,5.7,0,0.100,1.7543859649122806,u,a,2,0,0,0,2,3,0,0,0,5.7,5.5,15,https://secure.cache.images.core.optasports.com/soccer/players/150x150/22426.png,0,0.00000
119578,David Von Ballmoos,GK,1963,Young Boys,BSC,1,0,5.2,0,0.025,0.47846889952153115,d,a,2,0,0,6,0,7,0,0,0,5.3,5.2,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/301798.png,0,0.00000
11973,Diego Benaglio,GK,146,Monaco,MON,2,0,5.9,0,0.025,0.42194092827004226,d,a,2,0,0,2,0,2,0,0,0,6.0,5.9,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/196.png,0,0.00000
240183,Dominik Svacek,GK,2703,Viktoria Plzen,VIK,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
247401,Dorian Grange,GK,143,Lyon,LYN,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
121160,Ederson,GK,43,Manchester City,MNC,2,0,6.3,0,0.025,0.4,d,a,2,0,0,3,0,3,0,0,0,6.3,6.3,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/206804.png,0,0.00000
52456,Eloy Room,GK,204,PSV,PSV,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/64680.png,0,0.00000
98401,Eray Iscan,GK,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
210742,Eric Oelschlägel,GK,157,Borussia Dortmund,BVB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/259319.png,0,0.00000
168547,Ethan Horvath,GK,413,Club Brugge,BRU,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/301988.png,0,0.00000
42864,Fernando Muslera,GK,208,Galatasaray,GAL,11,0,5.9,0,0.050,0.8547008547008548,u,a,2,0,0,1,1,6,0,0,0,5.9,5.7,11,https://secure.cache.images.core.optasports.com/soccer/players/150x150/19752.png,0,0.00000
176483,Fábio Miguel Duarte Duarte,GK,251,Benfica,BEN,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
