playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
39155,Adam Lallana,MID,14,Liverpool,LIV,0,0,5.7,0,0.050,0.8771929824561403,d,d,0,0,0,0,0,0,0,0,0,5.8,5.7,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/15497.png,0,0.00000
218005,Adam Ounas,MID,459,Napoli,NAP,1,0,5.1,0,0.050,0.975609756097561,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/334096.png,0,0.00000
198065,Adama Traoré,MID,146,Monaco,MON,1,0,5.1,0,0.050,0.975609756097561,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/299856.png,0,0.00000
120743,Adrien Rabiot,MID,149,Paris Saint-Germain,PSG,4,0,5.8,0,0.025,0.43478260869565216,d,a,2,0,0,0,0,0,0,0,0,5.8,5.8,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/242768.png,0,0.00000
51437,Alan Dzagoev,MID,1340,CSKA Moscow,CSK,4,0,6.0,0,0.025,0.42016806722689076,d,a,2,0,0,0,0,0,0,0,0,6.0,6.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/33080.png,0,0.00000
27752,Alan Kasaev,MID,271,Lokomotiv Moscow,LCM,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
76738,Alan Patrick,MID,455,Shakhtar Donetsk,SHA,7,0,5.5,0,0.050,0.9049773755656108,u,a,2,0,1,0,0,0,0,0,0,5.5,5.5,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/95415.png,0,0.00000
160172,Alef,MID,234,AEK Athens,AEK,1,0,5.3,0,0.050,0.9389671361502347,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/288279.png,0,0.00000
93989,Aleksandar Pesic,MID,214,Crvena Zvezda,RSB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
161950,Aleksandr Golovin,MID,146,Monaco,MON,2,0,6.5,0,0.025,0.38314176245210724,d,a,1,0,0,0,0,0,0,0,0,6.6,6.5,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/290180.png,0,0.00000
83548,Aleksandr Kolomeytsev,MID,271,Lokomotiv Moscow,LCM,0,0,5.3,0,0.050,0.9433962264150945,d,i,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/27821.png,0,0.00000
160174,Aleksey Miranchuk,MID,271,Lokomotiv Moscow,LCM,4,0,5.3,0,0.025,0.4761904761904762,d,a,2,0,0,0,0,0,0,0,0,5.3,5.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/293676.png,0,0.00000
164544,Ales Cermak,MID,2703,Viktoria Plzen,VIK,1,0,5.2,0,0.050,0.9569377990430623,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/155477.png,0,0.00000
97617,Alessandro Florenzi,MID,121,Roma,ROM,7,0,5.9,0,0.050,0.8438818565400845,u,a,2,0,1,0,0,0,0,0,0,5.9,5.9,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/190553.png,0,0.00000
168083,Alessandro Schöpf,MID,167,FC Schalke 04,SCH,2,0,5.3,0,0.050,0.9389671361502347,d,a,1,0,0,0,0,0,0,0,0,5.4,5.3,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/245805.png,0,0.00000
81880,Alex Oxlade-Chamberlain,MID,14,Liverpool,LIV,0,0,5.8,0,0.050,0.8620689655172413,d,i,0,0,0,0,0,0,0,0,0,5.9,5.8,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/120695.png,0,0.00000
459419,Alexey Mironov,MID,271,Lokomotiv Moscow,LCM,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/461873.png,0,0.00000
430505,Alfa Semedo,MID,251,Benfica,BEN,7,0,6.0,0,0.100,1.680672268907563,u,a,0,1,0,0,0,0,0,0,0,6.0,5.9,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/397784.png,0,0.00000
119765,Allan,MID,459,Napoli,NAP,4,0,5.9,0,0.025,0.4273504273504274,d,a,2,0,0,0,0,0,0,0,0,5.9,5.9,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/94859.png,0,0.00000
212533,Amadou Diawara,MID,459,Napoli,NAP,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/396155.png,0,0.00000
229608,Amine Harit,MID,167,FC Schalke 04,SCH,1,0,5.3,0,0.050,0.9389671361502347,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/403862.png,0,0.00000
216348,Amir Natcho,MID,271,Lokomotiv Moscow,LCM,0,0,5.6,0,0.050,0.892857142857143,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
82952,Anastasios Bakasetas,MID,234,AEK Athens,AEK,2,0,5.5,0,0.025,0.4524886877828054,d,s,1,0,0,0,0,0,0,0,0,5.6,5.5,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/154138.png,0,0.00000
59846,Ander Herrera,MID,1,Manchester United,MNU,0,0,5.6,0,0.050,0.892857142857143,d,i,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/72451.png,0,0.00000
189636,Andre Simoes,MID,234,AEK Athens,AEK,4,0,5.5,0,0.025,0.45871559633027525,d,a,2,0,0,0,0,0,0,0,0,5.5,5.5,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/194194.png,0,0.00000
216038,Andrea Marcucci,MID,121,Roma,ROM,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
18560,Andreas Ivanschitz,MID,2703,Viktoria Plzen,VIK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
164654,Andrija Zivkovic,MID,251,Benfica,BEN,1,0,5.8,0,0.050,0.8583690987124464,d,a,0,0,0,0,0,0,0,0,0,5.9,5.8,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/213881.png,0,0.00000
156264,Andrijia Lukovic,MID,214,Crvena Zvezda,RSB,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
218134,Andriy Korobenko,MID,455,Shakhtar Donetsk,SHA,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
165940,Andriy Totovytsky,MID,455,Shakhtar Donetsk,SHA,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/301161.png,0,0.00000
58813,André Almeida,MID,251,Benfica,BEN,4,0,5.6,0,0.025,0.45045045045045046,d,a,2,0,0,0,0,0,0,0,0,5.6,5.6,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/68693.png,0,0.00000
209041,Angel Gomes,MID,1,Manchester United,MNU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/453896.png,0,0.00000
109100,Ante Coric,MID,121,Roma,ROM,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/318357.png,0,0.00000
225903,Antoine Bernede,MID,149,Paris Saint-Germain,PSG,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/419555.png,0,0.00000
175006,Anton Miranchuk,MID,271,Lokomotiv Moscow,LCM,3,0,5.6,0,0.025,0.45045045045045046,d,a,1,0,0,0,0,0,0,0,0,5.6,5.6,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/321005.png,0,0.00000
45156,Antonio Candreva,MID,127,Internazionale,INT,2,0,5.8,0,0.025,0.43478260869565216,d,a,0,0,0,0,0,0,0,0,0,5.8,5.8,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/17976.png,0,0.00000
8533,Arjen Robben,MID,156,FC Bayern München,BAY,7,0,7.5,0,0.050,0.6644518272425249,u,a,2,0,1,0,0,0,0,0,0,7.5,7.5,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/32.png,0,0.00000
220307,Arnaut Danjuma Groeneveld,MID,413,Club Brugge,BRU,10,0,5.2,0,0.100,1.9323671497584543,u,a,2,1,0,0,0,0,0,0,0,5.2,5.1,10,https://secure.cache.images.core.optasports.com/soccer/players/150x150/419539.png,0,0.00000
420618,Arnór Sigurdsson,MID,1340,CSKA Moscow,CSK,2,0,5.4,0,0.025,0.4672897196261683,d,a,0,0,0,0,0,0,0,0,0,5.4,5.4,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/407484.png,0,0.00000
204043,Arthur,MID,178,Barcelona,FCB,3,0,5.8,0,0.025,0.43478260869565216,d,a,1,0,0,0,0,0,0,0,0,5.8,5.8,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/288085.png,0,0.00000
42565,Arturo Vidal,MID,178,Barcelona,FCB,2,0,6.7,0,0.025,0.37593984962406013,d,a,0,0,0,0,0,0,0,0,0,6.7,6.7,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/16386.png,0,0.00000
199201,Astemir Gordyushenko,MID,1340,CSKA Moscow,CSK,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/320174.png,0,0.00000
40794,Astrit Ajdarevic,MID,234,AEK Athens,AEK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/87869.png,0,0.00000
41189,Axel Witsel,MID,157,Borussia Dortmund,BVB,4,0,6.0,0,0.025,0.42016806722689076,d,a,2,0,0,0,0,0,0,0,0,6.0,6.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/13531.png,0,0.00000
208480,Baris Zeren,MID,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
204359,Bart Ramselaar,MID,204,PSV,PSV,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/394807.png,0,0.00000
221444,Batuhan Ergun,MID,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
166371,Ben Nabouhane,MID,214,Crvena Zvezda,RSB,4,0,5.3,0,0.025,0.4761904761904762,d,a,2,0,0,0,0,0,0,0,0,5.3,5.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/140486.png,0,0.00000
180167,Benjamin Henrichs,MID,146,Monaco,MON,4,0,5.9,0,0.025,0.4273504273504274,d,a,2,0,0,0,0,0,0,0,0,5.9,5.9,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/290354.png,0,0.00000
80710,Benjamin Stambouli,MID,167,FC Schalke 04,SCH,0,0,5.3,0,0.050,0.9433962264150945,d,i,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/138310.png,0,0.00000
51489,Benoit Poulain,MID,413,Club Brugge,BRU,4,0,5.3,0,0.025,0.4761904761904762,d,a,2,0,0,0,0,0,0,0,0,5.3,5.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/37828.png,0,0.00000
37971,Blaise Matuidi,MID,128,Juventus,JUV,7,0,6.5,0,0.050,0.7662835249042145,u,a,2,0,1,0,0,0,0,0,0,6.5,6.5,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/1188.png,0,0.00000
27794,Borja Valero,MID,127,Internazionale,INT,2,0,5.5,0,0.025,0.45871559633027525,d,a,0,0,0,0,0,0,0,0,0,5.5,5.5,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/19222.png,0,0.00000
172987,Boschilia,MID,146,Monaco,MON,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/288089.png,0,0.00000
216183,Brahim Diaz,MID,43,Manchester City,MNC,0,0,5.7,0,0.050,0.8771929824561403,d,a,0,0,0,0,0,0,0,0,0,5.8,5.7,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/426785.png,0,0.00000
235069,Brandon Baiye,MID,413,Club Brugge,BRU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/460053.png,0,0.00000
195935,Branko Jovicic,MID,214,Crvena Zvezda,RSB,4,0,5.3,0,0.025,0.4761904761904762,d,a,2,0,0,0,0,0,0,0,0,5.3,5.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/228440.png,0,0.00000
229680,Bruno Costa,MID,201,FC Porto,FCP,0,0,5.7,0,0.050,0.8771929824561403,d,a,0,0,0,0,0,0,0,0,0,5.8,5.7,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/334526.png,0,0.00000
109511,Bryan Cristante,MID,121,Roma,ROM,2,0,5.8,0,0.025,0.4291845493562232,d,a,1,0,0,0,0,0,0,0,0,5.9,5.8,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/213130.png,0,0.00000
204637,Carel Eiting,MID,215,Ajax,AJA,5,0,5.2,0,0.050,0.9615384615384616,d,a,1,0,1,0,0,0,0,0,0,5.3,5.2,5,https://secure.cache.images.core.optasports.com/soccer/players/150x150/379791.png,0,0.00000
179271,Carles Aleñá,MID,178,Barcelona,FCB,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/316437.png,0,0.00000
224860,Carlos Soler,MID,191,Valencia CF,VAL,3,0,5.8,0,0.025,0.43478260869565216,d,a,1,0,0,0,0,0,0,0,0,5.8,5.8,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/404347.png,0,0.00000
