Name,Value (in Millions)
A. Hern\u00e1ndez,6.1
Abdou Diallo,6.0
Abdul Rahman Baba,5.3
Abraham Frimpong,5.0
Achraf Hakimi,5.5
Adam Lallana,5.7
Adam Ounas,5.1
Adam Tzanetopoulos,5.0
Adama Traor\u00e9,5.1
Adrien Rabiot,5.8
Ahmed Touba,5.0
Ahmet Yilmaz Calik,5.3
Alan Dzagoev,6.0
Alan Kasaev,5.1
Alan Patrick,5.5
Alberto Moreno,5.4
Alef,5.3
Alejandro Grimaldo,5.8
Aleksa Terzic,5.1
Aleksandar Kolarov,6.2
Aleksandar Pesic,5.0
Aleksandr Golovin,6.5
Aleksandr Kolomeytsev,5.3
Aleksandr Makarov,5.5
Aleksey Miranchuk,5.3
Ales Cermak,5.2
Ales Hruska,5.2
Alessandro Florenzi,5.9
Alessandro Sch\u00f6pf,5.3
Alex Dos Santos,5.3
Alex Meret,5.1
Alex Oxlade-Chamberlain,5.8
Alex Sandro,6.5
Alex Telles,5.8
Alexander Isak,5.1
Alexander N\u00fcbel,5.1
Alexander Stolz,5.1
Alexey Mironov,5.1
Alfa Semedo,6.0
Alfons Amade,5.1
Ali Ulgen,5.1
Alisson,6.3
Allan,5.9
Almamy Tour\u00e9,5.7
Alperen Uysal,5.0
Alphonse Areola,5.8
Amadou Diawara,5.3
Amin Younes,6.1
Amine Gouiri,5.0
Amine Harit,5.3
Amir Natcho,5.6
Anastasios Bakasetas,5.5
Ander Herrera,5.6
Andr\u00e9 Almeida,5.6
Andr\u00e9 Onana,6.0
Andr\u00e9 Pereira,6.2
Andre Simoes,5.5
Andrea Barzagli,5.9
Andrea Marcucci,5.0
Andrea Raggi,5.3
Andrea Ranocchia,5.7
Andreas Ivanschitz,5.0
Andrej Kramaric,6.3
Andrew Robertson,6.2
Andrija Zivkovic,5.8
Andrijia Lukovic,5.1
Andriy Korobenko,5.3
Andriy Pyatov,5.7
Andriy Totovytsky,5.4
Angel Gomes,5.0
Angelino,5.7
Ante Coric,5.1
Anthony Lopes,6.0
Anthony Martial,7.2
Anthony Racioppi,5.2
Antoine Bernede,5.0
Antoine Griezmann,8.1
Anton Kochenkov,5.2
Anton Miranchuk,5.6
Antonio Ad\u00e1n,5.6
Antonio Barreca,5.6
Antonio Candreva,5.8
Antonio Mirante,5.2
Ari,5.2
Arijanet Muric,5.4
Arjen Robben,7.5
Arkadiusz Milik,7.0
Arn\u00f3r Sigurdsson,5.4
Arnaut Danjuma Groeneveld,5.2
Artem Galadzhan,5.3
Arthur,5.8
Arturo Vidal,6.7
Ashley Young,5.8
Astemir Gordyushenko,5.1
Astrit Ajdarevic,5.0
Axel Witsel,6.0
Aymeric Laporte,6.1
Baris Zeren,5.0
Bart Ramselaar,5.3
Bastian Oczipka,5.2
Batuhan Ergun,5.0
Ben Nabouhane,5.3
Benedikt H\u00f6wedes,5.5
Benjamin H\u00fcbner,5.3
Benjamin Henrichs,5.9
Benjamin Mendy,6.2
Benjamin Stambouli,5.3
Benoit Poulain,5.3
Berk Ismael Unsal,5.0
Blaise Matuidi,6.5
Bogdan Butko,5.3
Bogdan Lobont,5.0
Bogdan Sarnavskiy,5.0
Boris Rotenberg,5.4
Borja Valero,5.5
Boschilia,5.0
Brahim Diaz,5.7
Brandon Baiye,5.0
Brandon Mechele,5.2
Branko Jovicic,5.3
Breel Embolo,6.5
Brent Gabri\u00ebl,5.0
Brian Idowu,5.3
Bruno Costa,5.7
Bruno Varela,5.1
Bryan Cristante,5.8
Carel Eiting,5.2
Carles Ale\u00f1\u00e1,5.2
Carlo Pinsoglio,5.0
Carlos Soler,5.8
Casemiro,5.9
Cedric Teuchert,6.0
Celil Yuksel,5.0
Cengiz \u00dcnder,6.4
Chancel Mbemba,5.4
Chidozie Awaziem,5.1
Chris Smalling,6.1
Christian Eriksen,7.6
Christian Fassnacht,5.3
Christian Fr\u00fcchtl,5.1
Christian Pulisic,6.6
Christoph Baumgartner,5.2
Christopher Nkunku,5.1
Christos Albanis,5.0
Christos Antoniou,5.0
Christos Giousis,5.1
Cl\u00e9ment Lenglet,5.8
Claudemir,5.0
Claudio Bravo,5.4
Clinton Mata,5.2
Cody Gakpo,5.0
Colin Dagba,5.7
Corentin Tolisso,6.5
Correa.A,6.9
Cristian Lema,5.7
Cristiano Piccini,5.7
Cristiano Ronaldo,7.9
Dalbert,5.6
Daley Blind,5.8
Daley Sinkgraven,5.2
Dalot. Diogo,5.6
Damir Kahriman,5.0
Dan-Axel Zagadou,5.8
Dani Alves,6.0
Dani Ceballos,5.2
Dani de Wit,5.0
Daniel Caligiuri,5.5
Daniel Carvajal,6.4
Daniel Grimshaw,5.0
Daniel Kol\u00e1r,5.3
Daniel Parejo,5.8
Daniel Schwaab,5.6
Daniel Sturridge,6.8
Daniel Wass,5.9
Daniele De Rossi,5.2
Daniele Padelli,5.1
Daniele Rugani,5.7
Daniil Kulikov,5.2
Danijel Subasic,5.8
Danilo,5.6
Danilo D'Ambrosio,5.3
Danilo Pereira,5.6
Dante Rigo,5.5
Dario Marzino,5.1
David Alaba,6.5
David De Gea,6.7
David Limbersky,5.4
David Neres,6.9
David Ospina,5.7
David Otto,5.1
David Von Ballmoos,5.2
Davide Santon,5.2
Davies. B,6.1
Davit Khotcholava,5.4
Dejan Joveljic,5.1
Dejan Lovren,5.9
Dele Alli,7.3
Demb\u00e9l\u00e9. M,5.7
Demb\u00e9l\u00e9. O,7.6
Denis Cheryshev,6.2
Dennis Geiger,5.7
Dennis Johnsen,5.0
Dennis van Vaerenbergh,5.0
Dentinho,5.6
Denzel Dumfries,5.7
Diego Benaglio,5.9
Diego Costa,7.7
Diego God\u00edn,6.4
Diego Perotti,6.1
Diego Zivulic,5.0
Dimitri Barinov,5.1
Diogo Leite,5.5
Dion Cools,5.3
Divock Origi,5.9
Djibril Sidibe,5.6
Djibril Sow,5.4
Dmitri Efremov,5.5
Dmitriy Tarasov,5.3
Dmytro Chygrynskiy,5.1
Dominic Solanke,5.6
Dominik Svacek,5.1
Donny van de Beek,5.9
Donyell Malen,5.8
Dorian Grange,5.0
Douglas,5.2
Douglas Costa,6.9
Dries Mertens,7.3
Dusan Andjelkovic,5.1
Dusan Jovancic,5.2
Dusan Tadic,6.5
Dzenis Burnic,5.0
Eder,5.9
Eder Milit\u00e3o,5.8
Ederson,6.3
Edin Dzeko,7.5
Edinson Cavani,7.8
Eduardo Salvio,6.3
Eliaquim Mangala,5.4
Eliseu,5.7
Eloy Room,5.1
Elseid Hysaj,5.8
Emmanuel Bonaventure Dennis,5.3
Emre Akbaba,5.5
Emre Can,6.0
Eray Iscan,5.0
Eren Derdiyok,5.8
Eric Bailly,5.9
Eric Dier,5.7
Eric Maxim Choupo-Moting,6.1
Eric Oelschl\u00e4gel,5.0
Erick Guti\u00e9rrez,5.4
Erik Lamela,6.7
Erik Mor\u00e1n,5.1
Ermin Bicakcic,5.4
Eros De Santis,5.0
Ethan Hamilton,5.0
Ethan Horvath,5.2
Ezequiel Garay,5.7
Ezequiel Ponce,5.5
F\u00e1bio Miguel Duarte Duarte,5.0
Fabi\u00e1n,5.1
Fabian Delph,5.5
Fabinho,6.0
Facundo Ferreyra,5.9
Falcao,7.3
Faouzi Ghoulam,5.6
Federico Bernardeschi,7.2
Federico Fazio,5.9
Federico Valverde,5.2
Federico Varela,5.5
Fedor Chalov,6.2
Fedor Smolov,6.0
Felipe,5.4
Felipe Pires,5.2
Ferland Mendy,5.8
Fernandinho,6.0
Fernando,5.6
Fernando Llorente,6.0
Fernando Mar\u00e7al de Oliveira,5.6
Fernando Muslera,5.9
Ferr\u00e1n Torres,6.0
Filip Cih\u00e1k,5.0
Filip Krovinovic,5.2
Filip Stojkovic,5.3
Filipe Luis,6.2
Firmino. Roberto,7.7
Florian Grillitsch,5.9
Fran Brodic,5.0
Francis Coquelin,5.4
Franck Rib\u00e9ry,6.7
Franco Cervi,5.8
Franco Di Santo,6.2
Fred,6.0
Frenkie de Jong,5.8
G\u00f6tze. M,5.9
Gabriel,5.4
Gabriel,5.7
Gareth Bale,7.9
Gast\u00f3n Pereiro,6.4
Gedson Fernandes,5.6
Gelson Martins,6.3
Geoffrey Kondogbia,5.7
Georges-K\u00e9vin Nkoudou,5.2
Georgi Kyrnats,5.2
Georginio Wijnaldum,5.7
Georgios Giakoumakis,5.4
Georgy Schennikov,5.2
Gerard Piqu\u00e9,6.5
Germ\u00e1n Conti,5.6
Gianluigi Buffon,6.1
Giannis Gianniotas,5.2
Giannis-Foivos Botos,5.0
Gim\u00e9nez,6.3
Giorgio Chiellini,6.3
Giorgos Giannoutsos,5.1
Gon\u00e7alo Guedes,6.4
Goran Causic,5.3
Gregor Kobel,5.3
Gregory W\u00fcthrich,5.3
Grzegorz Krychowiak,5.4
Guido Burgstaller,6.2
Guilherme,5.5
Guillaume Hoarau,5.5
Guillaume Hubert,5.0
H\u00e5vard Nordtveit,5.8
H\u00e9ctor Herrera,5.9
H\u00e9lder Lopes,5.2
H\u00f6rdur Magn\u00fasson,5.0
Hakan Balta,5.2
Hakim Ziyech,6.6
Hamza Mendyl,5.6
Hans Vanaken,5.3
Haris Seferovic,6.4
Harry Kane,8.0
Harry Winks,5.5
Hassane Band\u00e9,5.5
Helibelton Palacios,5.0
Henry Onyekuru,5.6
Hirving Lozano,6.5
Houssem Aouar,5.8
Hrvoje Milic,5.0
Hugo Lloris,6.2
Hugo Miguel Pereira de Almeida,5.0
Igor Akinfeev,5.7
Igor Denisov,5.4
Igor Portnyagin,5.3
Iker Casillas,5.9
Ilkay G\u00fcndogan,5.9
Ilya Pomazun,5.3
Ilzat Akhmetov,5.4
Isco,7.5
Ishak Belfodil,5.6
Ismail Cipe,5.2
Ismaily,5.6
